Date,MSFT,Microsoft Corporation,Microsoft
2015-01-01,0.44999999999999996,30.240000000000002,41.28
2015-01-02,1.95,0.0,45.58
2015-01-03,2.85,0.0,45.58
2015-01-04,0.3,0.0,45.58
2015-01-05,3.9,45.36000000000001,57.62
2015-01-06,3.3,22.400000000000002,62.78
2015-01-07,3.75,44.800000000000004,61.06
2015-01-08,2.4,22.400000000000002,56.76
2015-01-09,2.1,22.96,59.339999999999996
2015-01-10,1.5,27.44,44.72
2015-01-11,0.75,0.0,45.58
2015-01-12,2.85,43.68000000000001,61.92
2015-01-13,2.55,0.0,65.36
2015-01-14,3.9,33.040000000000006,67.08
2015-01-15,2.85,21.840000000000003,62.78
2015-01-16,2.1,22.96,57.62
2015-01-17,1.05,56.00000000000001,41.28
2015-01-18,0.0,28.000000000000004,44.72
2015-01-19,0.8999999999999999,23.520000000000003,55.04
2015-01-20,2.85,33.040000000000006,59.339999999999996
2015-01-21,5.1,21.840000000000003,72.24
2015-01-22,5.3999999999999995,21.840000000000003,86.0
2015-01-23,5.7,22.400000000000002,74.82
2015-01-24,2.55,26.880000000000003,53.32
2015-01-25,1.05,54.32000000000001,55.04
2015-01-26,6.6,43.68000000000001,67.08
2015-01-27,15.0,21.28,69.66
2015-01-28,9.45,32.480000000000004,67.94
2015-01-29,6.1499999999999995,33.040000000000006,68.8
2015-01-30,6.75,0.0,61.92
2015-01-31,2.85,39.760000000000005,49.019999999999996
2015-02-01,3.25,14.4,59.64
2015-02-02,10.530000000000001,80.0,84.0
2015-02-03,11.700000000000001,11.200000000000001,84.0
2015-02-04,10.530000000000001,34.4,84.0
2015-02-05,9.75,23.200000000000003,82.32
2015-02-06,9.620000000000001,12.0,76.44
2015-02-07,4.8100000000000005,0.0,54.6
2015-02-08,2.6,0.0,57.96
2015-02-09,6.37,0.0,77.28
2015-02-10,13.0,34.4,78.11999999999999
2015-02-11,3.5100000000000002,0.0,78.96
2015-02-12,9.620000000000001,34.4,80.64
2015-02-13,8.06,12.0,73.08
2015-02-14,3.77,29.6,52.919999999999995
2015-02-15,1.9500000000000002,29.6,55.44
2015-02-16,5.07,24.8,73.92
2015-02-17,8.58,0.0,73.92
2015-02-18,7.15,35.2,80.64
2015-02-19,5.98,35.2,75.6
2015-02-20,9.620000000000001,12.0,71.39999999999999
2015-02-21,3.64,0.0,57.12
2015-02-22,1.82,0.0,57.12
2015-02-23,6.11,33.6,73.08
2015-02-24,4.68,11.200000000000001,82.32
2015-02-25,5.59,23.200000000000003,77.28
2015-02-26,5.33,12.0,79.8
2015-02-27,6.63,23.200000000000003,67.2
2015-02-28,1.82,0.0,55.44
2015-03-01,1.43,49.0,57.6
2015-03-02,5.17,13.23,78.4
2015-03-03,8.58,13.23,78.4
2015-03-04,4.07,13.23,76.80000000000001
2015-03-05,6.6,33.32,76.0
2015-03-06,3.96,13.719999999999999,70.4
2015-03-07,2.97,0.0,52.800000000000004
2015-03-08,1.43,17.15,55.2
2015-03-09,6.71,13.719999999999999,76.0
2015-03-10,7.59,13.23,80.0
2015-03-11,7.37,0.0,76.80000000000001
2015-03-12,8.03,13.719999999999999,74.4
2015-03-13,11.0,42.63,70.4
2015-03-14,4.07,0.0,49.6
2015-03-15,2.31,0.0,55.2
2015-03-16,8.47,41.16,75.2
2015-03-17,7.37,26.95,76.80000000000001
2015-03-18,7.7,13.719999999999999,80.0
2015-03-19,5.72,13.719999999999999,78.4
2015-03-20,7.48,13.719999999999999,70.4
2015-03-21,2.2,0.0,46.400000000000006
2015-03-22,3.74,33.81,52.0
2015-03-23,5.5,26.95,77.60000000000001
2015-03-24,5.61,40.67,75.2
2015-03-25,4.95,46.06,75.2
2015-03-26,5.28,16.169999999999998,78.4
2015-03-27,6.82,14.209999999999999,68.8
2015-03-28,3.3,0.0,46.400000000000006
2015-03-29,2.42,18.62,50.400000000000006
2015-03-30,6.6,13.719999999999999,72.8
2015-03-31,9.35,0.0,78.4
2015-04-01,4.930000000000001,26.979999999999997,63.84
2015-04-02,3.91,18.46,67.64
2015-04-03,2.72,29.82,55.480000000000004
2015-04-04,1.02,71.0,42.56
2015-04-05,1.7000000000000002,24.849999999999998,41.04
2015-04-06,4.08,37.629999999999995,64.6
2015-04-07,3.91,35.5,63.08
2015-04-08,4.760000000000001,26.979999999999997,68.4
2015-04-09,3.2300000000000004,26.979999999999997,63.84
2015-04-10,3.5700000000000003,18.46,57.76
2015-04-11,1.7000000000000002,46.86,41.8
2015-04-12,0.68,23.43,46.36
2015-04-13,3.91,17.75,63.08
2015-04-14,4.25,0.0,63.84
2015-04-15,3.5700000000000003,17.75,66.88
2015-04-16,3.2300000000000004,35.5,63.08
2015-04-17,3.91,28.4,59.28
2015-04-18,0.8500000000000001,23.43,43.32
2015-04-19,0.8500000000000001,23.43,43.32
2015-04-20,4.760000000000001,17.75,63.08
2015-04-21,5.44,53.25,68.4
2015-04-22,4.590000000000001,0.0,65.36
2015-04-23,9.01,53.25,66.88
2015-04-24,17.0,0.0,63.08
2015-04-25,5.1000000000000005,23.43,41.04
2015-04-26,2.3800000000000003,23.43,44.08
2015-04-27,4.590000000000001,26.979999999999997,66.12
2015-04-28,7.140000000000001,71.0,60.8
2015-04-29,7.65,44.73,72.2
2015-04-30,6.29,18.46,76.0
2015-05-01,9.719999999999999,0.0,77.0
2015-05-02,5.279999999999999,0.0,54.67
2015-05-03,4.32,26.349999999999998,50.050000000000004
2015-05-04,7.319999999999999,20.4,73.15
2015-05-05,11.16,0.0,73.92
2015-05-06,10.559999999999999,0.0,76.23
2015-05-07,5.3999999999999995,0.0,69.3
2015-05-08,12.0,22.099999999999998,67.76
2015-05-09,5.279999999999999,0.0,45.43
2015-05-10,1.7999999999999998,28.05,46.97
2015-05-11,8.16,62.9,72.38
2015-05-12,12.0,0.0,70.84
2015-05-13,8.04,20.4,75.46000000000001
2015-05-14,6.0,41.65,73.15
2015-05-15,4.2,0.0,68.53
2015-05-16,2.6399999999999997,0.0,44.660000000000004
2015-05-17,1.7999999999999998,0.0,46.2
2015-05-18,11.4,41.65,69.3
2015-05-19,6.84,41.65,70.07000000000001
2015-05-20,4.68,0.0,73.92
2015-05-21,7.08,22.099999999999998,70.84
2015-05-22,4.4399999999999995,22.95,62.370000000000005
2015-05-23,3.7199999999999998,0.0,46.2
2015-05-24,0.0,58.65,40.81
2015-05-25,1.7999999999999998,0.0,50.050000000000004
2015-05-26,4.08,41.65,66.22
2015-05-27,6.72,0.0,76.23
2015-05-28,11.04,85.0,72.38
2015-05-29,7.199999999999999,22.099999999999998,65.45
2015-05-30,3.5999999999999996,0.0,45.43
2015-05-31,2.6399999999999997,83.3,46.2
2015-06-01,7.9,8.32,65.60000000000001
2015-06-02,7.2,8.58,68.8
2015-06-03,5.9,13.0,69.60000000000001
2015-06-04,7.1000000000000005,0.0,64.0
2015-06-05,7.0,9.1,62.400000000000006
2015-06-06,2.4000000000000004,11.440000000000001,44.800000000000004
2015-06-07,4.0,0.0,44.0
2015-06-08,7.4,8.84,64.8
2015-06-09,4.4,8.58,66.4
2015-06-10,6.800000000000001,8.84,72.0
2015-06-11,5.800000000000001,0.0,67.2
2015-06-12,5.5,9.36,59.2
2015-06-13,2.9000000000000004,11.440000000000001,44.0
2015-06-14,4.4,0.0,40.0
2015-06-15,7.4,17.68,80.0
2015-06-16,4.1000000000000005,17.68,76.0
2015-06-17,10.0,8.84,72.0
2015-06-18,8.6,8.84,68.0
2015-06-19,8.700000000000001,0.0,61.6
2015-06-20,1.4000000000000001,11.18,43.2
2015-06-21,1.9000000000000001,0.0,42.400000000000006
2015-06-22,7.1000000000000005,0.0,64.0
2015-06-23,4.800000000000001,26.0,64.0
2015-06-24,7.1000000000000005,13.26,68.8
2015-06-25,6.800000000000001,8.84,64.0
2015-06-26,5.1000000000000005,0.0,60.800000000000004
2015-06-27,1.9000000000000001,0.0,43.2
2015-06-28,2.9000000000000004,0.0,42.400000000000006
2015-06-29,5.300000000000001,8.84,62.400000000000006
2015-06-30,8.9,8.84,67.2
2015-07-01,4.0,32.43,53.82
2015-07-02,3.2,16.45,49.92
2015-07-03,1.76,19.74,39.0
2015-07-04,1.44,0.0,31.98
2015-07-05,1.12,45.12,32.76
2015-07-06,4.64,15.979999999999999,49.14
2015-07-07,4.0,15.979999999999999,56.940000000000005
2015-07-08,7.04,31.959999999999997,56.160000000000004
2015-07-09,7.5200000000000005,15.979999999999999,58.5
2015-07-10,4.96,16.919999999999998,48.36
2015-07-11,1.76,0.0,32.76
2015-07-12,1.28,0.0,35.1
2015-07-13,4.64,47.0,49.92
2015-07-14,4.0,15.51,50.7
2015-07-15,5.76,0.0,56.160000000000004
2015-07-16,4.8,16.45,53.82
2015-07-17,5.12,0.0,52.260000000000005
2015-07-18,1.92,0.0,35.88
2015-07-19,0.8,0.0,36.660000000000004
2015-07-20,6.4,0.0,56.940000000000005
2015-07-21,16.0,15.979999999999999,58.5
2015-07-22,15.200000000000001,15.979999999999999,57.72
2015-07-23,6.4,0.0,55.38
2015-07-24,5.12,16.919999999999998,47.58
2015-07-25,1.76,0.0,36.660000000000004
2015-07-26,1.6,0.0,35.88
2015-07-27,5.6000000000000005,15.51,51.480000000000004
2015-07-28,4.8,15.979999999999999,56.160000000000004
2015-07-29,5.28,15.979999999999999,74.88
2015-07-30,6.72,15.979999999999999,78.0
2015-07-31,4.32,16.45,63.96
2015-08-01,4.16,0.0,64.08
2015-08-02,2.99,73.0,66.75
2015-08-03,8.06,28.47,83.66
2015-08-04,6.37,0.0,82.77
2015-08-05,7.67,56.21,82.77
2015-08-06,6.24,56.94,83.66
2015-08-07,6.11,58.4,73.87
2015-08-08,2.99,35.769999999999996,59.63
2015-08-09,0.78,0.0,60.52
2015-08-10,6.24,56.94,80.1
2015-08-11,7.0200000000000005,0.0,85.44
2015-08-12,5.8500000000000005,27.74,83.66
2015-08-13,8.71,0.0,79.21000000000001
2015-08-14,6.76,29.2,76.54
2015-08-15,2.21,35.04,56.96
2015-08-16,1.9500000000000002,0.0,59.63
2015-08-17,6.5,56.21,81.88
2015-08-18,5.8500000000000005,0.0,83.66
2015-08-19,7.800000000000001,0.0,85.44
2015-08-20,7.54,0.0,82.77
2015-08-21,8.06,0.0,78.32000000000001
2015-08-22,1.4300000000000002,35.769999999999996,57.85
2015-08-23,0.78,35.04,64.97
2015-08-24,12.22,54.75,85.44
2015-08-25,13.0,27.009999999999998,88.11
2015-08-26,8.450000000000001,27.009999999999998,89.0
2015-08-27,10.530000000000001,54.019999999999996,86.33
2015-08-28,6.5,0.0,77.43
2015-08-29,2.6,34.31,62.300000000000004
2015-08-30,1.82,0.0,59.63
2015-08-31,7.15,27.009999999999998,84.55
2015-09-01,10.78,45.54,89.10000000000001
2015-09-02,10.01,69.0,83.7
2015-09-03,9.790000000000001,57.959999999999994,83.7
2015-09-04,10.12,0.0,72.9
2015-09-05,4.18,60.029999999999994,54.9
2015-09-06,2.2,46.23,53.1
2015-09-07,2.53,28.29,67.5
2015-09-08,7.59,22.08,82.8
2015-09-09,8.58,33.12,88.2
2015-09-10,10.56,44.849999999999994,90.0
2015-09-11,8.03,46.23,76.5
2015-09-12,3.08,0.0,55.800000000000004
2015-09-13,2.97,28.29,57.6
2015-09-14,9.13,56.58,75.60000000000001
2015-09-15,11.0,0.0,83.7
2015-09-16,9.02,67.61999999999999,82.8
2015-09-17,8.25,44.849999999999994,79.2
2015-09-18,7.37,23.459999999999997,74.7
2015-09-19,3.63,0.0,55.800000000000004
2015-09-20,3.08,0.0,54.9
2015-09-21,5.83,55.199999999999996,81.9
2015-09-22,6.6,22.08,85.5
2015-09-23,8.25,44.849999999999994,83.7
2015-09-24,6.71,33.809999999999995,82.8
2015-09-25,6.6,23.459999999999997,73.8
2015-09-26,3.63,58.65,50.4
2015-09-27,3.08,0.0,55.800000000000004
2015-09-28,9.13,22.08,74.7
2015-09-29,7.26,0.0,81.0
2015-09-30,7.37,33.12,81.9
2015-10-01,3.36,0.0,62.1
2015-10-02,1.6,20.8,54.9
2015-10-03,1.6,0.0,42.300000000000004
2015-10-04,3.2,17.68,44.1
2015-10-05,2.08,13.52,62.1
2015-10-06,7.84,20.28,90.0
2015-10-07,7.36,0.0,84.60000000000001
2015-10-08,3.36,13.52,70.2
2015-10-09,3.52,21.32,63.9
2015-10-10,2.08,18.2,46.800000000000004
2015-10-11,2.08,18.2,42.300000000000004
2015-10-12,3.2,0.0,62.1
2015-10-13,4.16,13.0,64.8
2015-10-14,2.72,13.52,63.0
2015-10-15,3.36,27.04,63.0
2015-10-16,3.2,0.0,58.5
2015-10-17,0.8,26.52,43.2
2015-10-18,0.32,17.16,46.800000000000004
2015-10-19,1.44,26.52,63.0
2015-10-20,5.28,52.0,64.8
2015-10-21,3.84,39.52,65.7
2015-10-22,9.120000000000001,13.52,64.8
2015-10-23,16.0,41.6,59.4
2015-10-24,4.32,34.32,39.6
2015-10-25,2.24,0.0,45.9
2015-10-26,7.68,13.0,63.9
2015-10-27,6.4,25.48,67.5
2015-10-28,4.96,12.48,63.9
2015-10-29,3.2,26.0,60.300000000000004
2015-10-30,4.16,28.080000000000002,58.5
2015-10-31,2.4,17.68,40.5
2015-11-01,2.3000000000000003,15.93,50.15
2015-11-02,7.4,23.009999999999998,68.0
2015-11-03,10.0,0.0,71.39999999999999
2015-11-04,8.9,11.799999999999999,72.25
2015-11-05,6.9,35.4,73.1
2015-11-06,4.4,23.599999999999998,68.0
2015-11-07,1.2000000000000002,0.0,47.6
2015-11-08,1.5,0.0,48.449999999999996
2015-11-09,4.9,11.799999999999999,67.14999999999999
2015-11-10,6.7,34.22,71.39999999999999
2015-11-11,6.4,0.0,67.14999999999999
2015-11-12,3.9000000000000004,24.189999999999998,73.95
2015-11-13,4.0,12.389999999999999,66.3
2015-11-14,1.5,0.0,47.6
2015-11-15,1.2000000000000002,15.34,50.15
2015-11-16,5.9,0.0,68.85
2015-11-17,4.4,11.209999999999999,72.25
2015-11-18,3.8000000000000003,0.0,73.95
2015-11-19,4.0,23.009999999999998,71.39999999999999
2015-11-20,3.9000000000000004,12.389999999999999,68.85
2015-11-21,2.2,0.0,49.3
2015-11-22,1.8,0.0,51.0
